metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_failed,1786861854,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861854,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
checks,1786861854,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861854,919.000000,,,,,,,,,default,,,,,,,
data_received,1786861854,1312.000000,,,,,,,,,default,,,,,,,
iteration_duration,1786861854,1352.953792,,,,,,,,,default,,,,,,,
iterations,1786861854,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1786861854,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861854,3.623000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861854,0.009000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861854,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861854,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861854,0.038000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861854,3.498000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861854,0.087000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861854,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861854,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861854,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861855,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861855,14.422000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861855,0.012000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861855,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861855,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861855,0.053000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861855,14.257000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861855,0.112000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861855,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861855,1.000000,cart: status 200,,,,,,,,default,,,,,,,
http_reqs,1786861855,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861855,15.442000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861855,0.007000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861855,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861855,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861855,0.018000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861855,15.355000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861855,0.069000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_failed,1786861855,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861855,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
checks,1786861855,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861855,923.000000,,,,,,,,,default,,,,,,,
data_received,1786861855,1315.000000,,,,,,,,,default,,,,,,,
iteration_duration,1786861855,2230.991084,,,,,,,,,default,,,,,,,
iterations,1786861855,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1786861855,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861855,2.969000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861855,0.002000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861855,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861855,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861855,0.011000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861855,2.927000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
